author_name	author_date	author_gender	author_viaf	title	novel_id	first_edition	num_word	size	time_slot	canonicity
Kóbor Tamás	1867-1942	M	63397465	A tisztesség nevében	HU13887	1898	33323	short	T3	low
Kóbor Tamás	1867-1942	M	63397465	Muzsika és parfüm	HU16571	1893	23730	short	T3	low
Komáromi János	1890-1937	F	58665425	A régi szerető	HU08529	1933	80578	short	T5	low
Komáromi János	1890-1937	M	58665425	Egy leányért	HU08274_1	1935	20920	short	T5	low
Komáromi János	1890-1937	M	58665425	Esze Tamás, a mezítlábasok ezredese	HU08273	1923	49424	short	T5	low
Komáromi János	1890-1937	M	58665425	Harangoz a mult	HU08341	1933	51151	medium	T5	low
Komáromi János	1890-1937	M	58665425	Hé, kozákok!	HU08316	1925	27860	short	T5	low
Komáromi János	1890-1937	M	58665425	Jegenyék a szélben	HU08371	1921	35622	short	T5	low
Komáromi János	1890-1937	M	58665425	Nagy leányka, kis legényke	HU08322	1930	39705	short	T5	low
Komáromi János	1890-1937	M	58665425	Ordasok	HU08313	1933	73707	medium	T5	low
Komáromi János	1890-1937	M	58665425	Pataki diákok	HU08272	1926	42226	short	T5	high
Komáromi János	1890-1937	M	58665425	Zúg a fenyves	HU08274	1924	37199	short	T5	low
Kosztolányi Dezső	1885-1936	M	17232459	Aranysárkány	HU04538	1925	65762	medium	T5	high
Kosztolányi Dezső	1885-1936	M	17232459	Édes Anna	HU04772	1926	51056	medium	T5	high
Kosztolányi Dezső	1885-1936	M	17232459	Esti Kornél	HU00744	1934	58016	medium	T5	high
Kosztolányi Dezső	1885-1936	M	17232459	Nero, a véres költő	HU03254	1922	57336	medium	T5	high
Kosztolányi Dezső	1885-1936	M	17232459	Pacsirta	HU00754	1924	36671	short	T5	high
Kovács József	1832-1897	M	221085154	Egy magyar amazon	HU16672	1869	22875	short	T2	low
Kövér Ilma	1862-1928	F	121505002	Két világ közt : Regény : ELTeC edition	HU13462	1897	36087	short	T3	low
Krúdy Gyula	1878-1933	M	22810	1848 : Nagy idők nagy hősei	HU06726	1948	19229	short	T6	low
Krúdy Gyula	1878-1933	M	22810	A dévényi fazekas	HU15261	1904	7567	short	T4	low
Krúdy Gyula	1878-1933	M	22810	Ál-Petőfi	HU16760	1922	40543	short	T5	low
Krúdy Gyula	1878-1933	M	22810	A magyar sasfiók	HU15655	1944	34541	short	T5	low
Krúdy Gyula	1878-1933	M	22810	Andráscsik örököse	HU13012	1909	33483	short	T4	low
Krúdy Gyula	1878-1933	M	22810	A podolini kísértet	HU00884	1907	52151	medium	T4	high
Krúdy Gyula	1878-1933	M	22810	Asszonyságok díja	HU16400	1919	49455	short	T4	high
Krúdy Gyula	1878-1933	M	22810	Az útitárs : ELTeC edition	HU00763	1919	15800	short	T4	low
Krúdy Gyula	1878-1933	M	22810	Egy nemzeti rablóvezér	HU15202	1922	21572	short	T5	low
Krúdy Gyula	1878-1933	M	22810	Etel király kincse	HU05597	1981	144912	long	T5	low
Krúdy Gyula	1878-1933	M	22810	Festett király	HU09100	1931	52630	medium	T5	low
Krúdy Gyula	1878-1933	M	22810	Hét bagoly	HU09048	1922	61106	medium	T5	low
Krúdy Gyula	1847-1910	M	22810	N. N. : Egy szerelem-gyermek regénye	HU00903	1922	29162	short	T5	low
Krúdy Gyula	1878-1933	M	22810	Rózsa Sándor	HU03754	1923	30183	short	T5	low
Kupa Árpád	1858-1916	M	162003783	Jó szerencsét!	HU13478	1901	29470	short	T4	low
Kupa Árpád	1858-1916	M	162003783	Képzelt királyok : Történeti regény : ELTeC edition	HU14315	1898	66127	medium	T3	low
Kuthy Lajos	1813-1864	M	29522559	Hazai rejtelmek : Regény : ELTeC edition	HU07552	1846	192692	long	T1	low
Lakatos László	1882-1944	M	50893722	A jövő házassága	HU17284	1927	62106	medium	T5	low
Lakatos László	1882-1944	M	50893722	A teve	HU17195	1925	43374	short	T5	low
Lázár István	1881-1936	M	89548528	A Nílus rózsája	HU08735	1927	46087	short	T5	low
Ligeti Ernő	1891-1945	M	50292909	A néger hősszerelmes	HU16712	1933	55700	medium	T5	low
Lovik Károly	1874-1915	M	121536328	Az arany polgár : Regény : ELTeC edition	HU16600	1908	31026	short	T4	low
Lőrinczy György	1860-1941	M	537165573946137800004	A boldogság császárja	HU04938	1927	38552	short	T5	low
Lux Terka	1873-1938	F	121519574	Amire születtünk : Regény : ELTeC edition	HU17694	1906	34961	short	T4	low
Lux Terka	1873-1938	F	121519574	Budapest	HU17520	1908	23278	short	T4	low
Lux Terka	1873-1938	F	121519574	Leányok	HU17828	1906	33745	short	T4	low
Majthényi György	1885-1942	M	121378875	Majális	HU16903	1922	47940	short	T5	low
Makkai Sándor	1890-1951	M	59887709	Holttenger	HU10875	1936	106628	long	T5	high
Makkai Sándor	1890-1951	M	59887709	Magyarok csillaga	HU00878	1937	58042	medium	T5	high
Malonyay Dezső	1866-1916	M	86172276	Az utolsó: Regény három kötetben: ELTeC edition	HU16123	1896	94912	medium	T3	low
Mikes Kelemen	1690-1761	M	7410168	Törökországi levelek : Válogatás : ELTeC edition	HU00879	1880	11346	short	T3	high
Mikszáth Kálmán	1847-1910	M	46774986	A beszélő köntös : ELTeC edition	HU00898	1889	23646	short	T3	high
Mikszáth Kálmán	1847-1910	M	46774986	Akli Miklós	HU00894	1903	48664	short	T4	high
Mikszáth Kálmán	1847-1910	M	46774986	A Noszty fiú esete Tóth Marival	HU00948	1908	132854	long	T4	high
Mikszáth Kálmán	1847-1910	M	46774986	A Noszty fiú esete Tóth Marival : ELTeC edition	HU00949	1908	133267	long	T4	high
Mikszáth Kálmán	1847-1910	M	46774986	A szelistyei asszonyok	HU00953	1901	27251	short	T4	low
Mikszáth Kálmán	1847-1910	M	46774986	A vén gazember	HU00913	1909	40895	short	T4	high
Mikszáth Kálmán	1847-1910	M	46774986	Beszterce ostroma	HU00899	1896	49900	short	T3	high
Mikszáth Kálmán	1847-1910	M	46774986	Gavallérok	HU00912	1897	13649	short	T3	high
Mikszáth Kálmán	1847-1910	M	46774986	Különös házasság	HU00944	1901	93858	medium	T4	high
Mikszáth Kálmán	1847-1910	M	46774986	Nemzetes uraimék	HU00947	1884	39705	short	T3	high
Mikszáth Kálmán	1847-1910	M	46774986	Szent Péter esernyője : ELTeC edition	HU00954	1895	53010	medium	T3	high
Mikszáth Kálmán	1847-1910	M	46774986	Új Zrínyiász	HU00956	1898	45601	short	T3	high
Móra Ferenc	1879-1934	M	73857588	Aranykoporsó	HU00961	1931	112874	long	T5	high
Móra Ferenc	1879-1934	M	73857588	A vadember és családja	HU10249	1935	50783	medium	T5	high
Móra Ferenc	1879-1934	M	73857588	Az ember feje nem füge	HU00965	1981	50814	medium	T5	low
Móra Ferenc	1879-1934	M	73857588	Ének a búzamezőkről	HU00962	1927	80020	medium	T5	high
Móra Ferenc	1879-1934	M	73857588	Hannibál föltámasztása	HU00967	1955	20039	short	T5	high
Móra Ferenc	1879-1934	M	73857588	Kincskereső kisködmön	HU00970	1951	36341	short	T6	high
Móra Ferenc	1879-1934	M	73857588	Mindenki Jánoskája	HU00969	1913	22202	short	T4	high
Móra Ferenc	1879-1934	M	73857588	Rab ember fiai : ELTeC edition	HU00977	1910	21678	short	T4	high
Móricz Zsigmond	1879-1942	M	22179627	A boldog ember	HU00988	1935	95522	medium	T5	high
Móricz Zsigmond	1879-1942	M	22179627	A fáklya	HU01171	1917	85948	medium	T4	high
Móricz Zsigmond	1879-1942	M	22179627	A galamb papné	HU05170	1912	33686	short	T4	high
Móricz Zsigmond	1879-1942	M	22179627	A nagy fejedelem	HU00985	1935	132729	long	T5	high
Móricz Zsigmond	1879-1942	M	22179627	A nap árnyéka	HU01206	1926	99482	medium	T5	high
Móricz Zsigmond	1879-1942	M	22179627	Árvácska	HU00981	1941	36336	short	T5	high
Móricz Zsigmond	1879-1942	M	22179627	A szerelmes levél	HU01281	1918	16069	short	T4	low
Móricz Zsigmond	1879-1942	M	22179627	Az asszony beleszól	HU00982	1934	74604	medium	T5	low
Móricz Zsigmond	1879-1942	M	22179627	Az Isten háta mögött	HU01435	1911	38499	short	T4	high
Móricz Zsigmond	1879-1942	M	22179627	Betyár	HU00987	1937	60050	medium	T5	low
Móricz Zsigmond	1879-1942	M	22179627	Életem regénye	HU01204	1939	115480	long	T5	high
Móricz Zsigmond	1879-1942	M	22179627	Forr a bor	HU05093	1931	156446	long	T5	high
Móricz Zsigmond	1879-1942	M	22179627	Forró mezők	HU01175	1929	54997	medium	T5	high
Móricz Zsigmond	1879-1942	M	22179627	Harmatos rózsa	HU05261	1912	43625	short	T4	low
Móricz Zsigmond	1879-1942	M	22179627	Jobb mint otthon	HU01333	1956	79997	medium	T6	low
Móricz Zsigmond	1879-1942	M	22179627	Jószerencsét	HU05358	1923	45048	short	T5	low
Móricz Zsigmond	1879-1942	M	22179627	Kerek Ferkó	HU05074	1913	53550	medium	T4	high
Móricz Zsigmond	1879-1942	M	22179627	Kivilágos kivirradtig	HU00990	1926	41480	short	T5	high
Móricz Zsigmond	1879-1942	M	22179627	Légy jó mindhalálig	HU00991	1920	82131	medium	T4	high
Móricz Zsigmond	1879-1942	M	22179627	Míg új a szerelem	HU01284	1938	83303	medium	T5	high
Móricz Zsigmond	1879-1942	M	22179627	Nem élhetek muzsikaszó nélkül	HU01503	1916	19283	short	T4	low
Móricz Zsigmond	1879-1942	M	22179627	Pillangó	HU04417	1925	37612	short	T5	high
